subject,sessionIndex,rep,letter,f1,f2,f3,f4,f5,f6
Bohdan,1,3,a,0.1379,0.2307,0.0708,0.2372,0.0742,0.3152
Bohdan,1,4,period,0.1014,0.2121,0.0743,0.1345,0.134,0.2094
Bohdan,1,4,t,0.0743,0.1345,0.134,0.2094,0.1087,0.2063
Bohdan,1,4,i,0.134,0.2094,0.1087,0.2063,0.0665,0.3841
Bohdan,1,4,e,0.1087,0.2063,0.0665,0.3841,0.0832,0.4061
Bohdan,1,4,five,0.0665,0.3841,0.0832,0.4061,0.0668,0.2364
Bohdan,1,4,Shift.r,0.0832,0.4061,0.0668,0.2364,0.1121,0.0468
Bohdan,1,4,o,0.0668,0.2364,0.1121,0.0468,0.1176,0.1206
Bohdan,1,4,a,0.1121,0.0468,0.1176,0.1206,0.1166,0.3278
Bohdan,1,5,period,0.1134,0.2364,0.0718,0.2036,0.0717,0.1549
Bohdan,1,5,t,0.0718,0.2036,0.0717,0.1549,0.0765,0.4503
Bohdan,1,5,i,0.0717,0.1549,0.0765,0.4503,0.0729,0.2594
Bohdan,1,5,e,0.0765,0.4503,0.0729,0.2594,0.1216,0.6147
Bohdan,1,5,five,0.0729,0.2594,0.1216,0.6147,0.077,0.2114
Bohdan,1,5,Shift.r,0.1216,0.6147,0.077,0.2114,0.087,0.2054
Bohdan,1,5,o,0.077,0.2114,0.087,0.2054,0.0528,0.5227
Bohdan,1,5,a,0.087,0.2054,0.0528,0.5227,0.105,0.1627
Bohdan,1,6,period,0.099,0.3095,0.0915,0.1083,0.0825,0.1261
Bohdan,1,6,t,0.0915,0.1083,0.0825,0.1261,0.075,0.251
Bohdan,1,6,i,0.0825,0.1261,0.075,0.251,0.1087,0.234
Bohdan,1,6,e,0.075,0.251,0.1087,0.234,0.0663,0.4095
Bohdan,1,6,five,0.1087,0.234,0.0663,0.4095,0.0499,0.2647
Bohdan,1,6,Shift.r,0.0663,0.4095,0.0499,0.2647,0.0939,0.1701
Bohdan,1,6,o,0.0499,0.2647,0.0939,0.1701,0.0807,0.207
Bohdan,1,6,a,0.0939,0.1701,0.0807,0.207,0.0528,0.2204
Bohdan,1,7,period,0.0759,0.2425,0.0792,0.1109,0.0568,0.212
Bohdan,1,7,t,0.0792,0.1109,0.0568,0.212,0.0686,0.3062
Bohdan,1,7,i,0.0568,0.212,0.0686,0.3062,0.0695,0.3513
Bohdan,1,7,e,0.0686,0.3062,0.0695,0.3513,0.0735,0.3123
Bohdan,1,7,five,0.0695,0.3513,0.0735,0.3123,0.0668,0.1046
Bohdan,1,7,Shift.r,0.0735,0.3123,0.0668,0.1046,0.1117,0.1121
Bohdan,1,7,o,0.0668,0.1046,0.1117,0.1121,0.1305,0.1221
Bohdan,1,7,a,0.1117,0.1121,0.1305,0.1221,0.0729,0.3204
Bohdan,1,8,period,0.1376,0.2254,0.1444,0.1116,0.0792,0.1465
Bohdan,1,8,t,0.1444,0.1116,0.0792,0.1465,0.1376,0.3036
Bohdan,1,8,i,0.0792,0.1465,0.1376,0.3036,0.054,0.3458
Bohdan,1,8,e,0.1376,0.3036,0.054,0.3458,0.1484,0.4144
Bohdan,1,8,five,0.054,0.3458,0.1484,0.4144,0.0877,0.2029
Bohdan,1,8,Shift.r,0.1484,0.4144,0.0877,0.2029,0.1425,0.1206
Bohdan,1,8,o,0.0877,0.2029,0.1425,0.1206,0.0943,0.2238
Bohdan,1,8,a,0.1425,0.1206,0.0943,0.2238,0.0779,0.219
Bohdan,1,9,period,0.1134,0.2049,0.0827,0.1076,0.0508,0.203
Bohdan,1,9,t,0.0827,0.1076,0.0508,0.203,0.1566,0.2102
Bohdan,1,9,i,0.0508,0.203,0.1566,0.2102,0.0581,0.2812
Bohdan,1,9,e,0.1566,0.2102,0.0581,0.2812,0.0942,0.4286
Bohdan,1,9,five,0.0581,0.2812,0.0942,0.4286,0.0546,0.215
Bohdan,1,9,Shift.r,0.0942,0.4286,0.0546,0.215,0.113,0.1194
Bohdan,1,9,o,0.0546,0.215,0.113,0.1194,0.0762,0.2196
Bohdan,1,9,a,0.113,0.1194,0.0762,0.2196,0.0901,0.3044
Bohdan,1,10,period,0.1058,0.3319,0.0711,0.1085,0.0803,0.1429
Bohdan,1,10,t,0.0711,0.1085,0.0803,0.1429,0.0741,0.3049
Bohdan,1,10,i,0.0803,0.1429,0.0741,0.3049,0.1237,0.2353
Bohdan,1,10,e,0.0741,0.3049,0.1237,0.2353,0.1022,0.4104
Bohdan,1,10,five,0.1237,0.2353,0.1022,0.4104,0.0779,0.1065
Bohdan,1,10,Shift.r,0.1022,0.4104,0.0779,0.1065,0.1309,0.1226
Bohdan,1,10,o,0.0779,0.1065,0.1309,0.1226,0.1322,0.1421
Bohdan,1,10,a,0.1309,0.1226,0.1322,0.1421,0.0574,0.3211
Bohdan,1,11,period,0.0733,0.2055,0.1097,0.1093,0.0745,0.1181
Bohdan,1,11,t,0.1097,0.1093,0.0745,0.1181,0.1381,0.2256
Bohdan,1,11,i,0.0745,0.1181,0.1381,0.2256,0.059,0.3117
Bohdan,1,11,e,0.1381,0.2256,0.059,0.3117,0.0717,0.5126
Bohdan,1,11,five,0.059,0.3117,0.0717,0.5126,0.0582,0.1384
Bohdan,1,11,Shift.r,0.0717,0.5126,0.0582,0.1384,0.1039,0.1243
Bohdan,1,11,o,0.0582,0.1384,0.1039,0.1243,0.0601,0.2232
Bohdan,1,11,a,0.1039,0.1243,0.0601,0.2232,0.0835,0.1127
Bohdan,1,12,period,0.0901,0.2067,0.116,0.0367,0.0797,0.2151
Bohdan,1,12,t,0.116,0.0367,0.0797,0.2151,0.0527,0.2072
Bohdan,1,12,i,0.0797,0.2151,0.0527,0.2072,0.0709,0.516
Bohdan,1,12,e,0.0527,0.2072,0.0709,0.516,0.0769,0.5027
Bohdan,1,12,five,0.0709,0.516,0.0769,0.5027,0.0765,0.1417
Bohdan,1,12,Shift.r,0.0769,0.5027,0.0765,0.1417,0.1028,0.2074
Bohdan,1,12,o,0.0765,0.1417,0.1028,0.2074,0.0528,0.2393
Bohdan,1,12,a,0.1028,0.2074,0.0528,0.2393,0.0599,0.3214
Bohdan,1,13,period,0.0889,0.2094,0.0698,0.1486,0.1156,0.2262
Bohdan,1,13,t,0.0698,0.1486,0.1156,0.2262,0.0702,0.309
Bohdan,1,13,i,0.1156,0.2262,0.0702,0.309,0.0548,0.235
Bohdan,1,13,e,0.0702,0.309,0.0548,0.235,0.0658,0.5128
Bohdan,1,13,five,0.0548,0.235,0.0658,0.5128,0.055,0.2173
Bohdan,1,13,Shift.r,0.0658,0.5128,0.055,0.2173,0.1498,0.0365
Bohdan,1,13,o,0.055,0.2173,0.1498,0.0365,0.0652,0.3549
Bohdan,1,13,a,0.1498,0.0365,0.0652,0.3549,0.0721,0.1415
Bohdan,1,14,period,0.1143,0.1084,0.1377,0.1206,0.0574,0.1385
Bohdan,1,14,t,0.1377,0.1206,0.0574,0.1385,0.1389,0.2034
Bohdan,1,14,i,0.0574,0.1385,0.1389,0.2034,0.0528,0.3405
Bohdan,1,14,e,0.1389,0.2034,0.0528,0.3405,0.054,0.7091
Bohdan,1,14,five,0.0528,0.3405,0.054,0.7091,0.1137,0.2091
Bohdan,1,14,Shift.r,0.054,0.7091,0.1137,0.2091,0.0918,0.1686
Bohdan,1,14,o,0.1137,0.2091,0.0918,0.1686,0.0578,0.5209
Bohdan,1,14,a,0.0918,0.1686,0.0578,0.5209,0.0817,0.2084
Bohdan,1,15,period,0.118,0.1185,0.1344,0.1047,0.0584,0.1086
Bohdan,1,15,t,0.1344,0.1047,0.0584,0.1086,0.0894,0.349
Bohdan,1,15,i,0.0584,0.1086,0.0894,0.349,0.1162,0.2761
Bohdan,1,15,e,0.0894,0.349,0.1162,0.2761,0.062,0.5107
Bohdan,1,15,five,0.1162,0.2761,0.062,0.5107,0.0757,0.1376
Bohdan,1,15,Shift.r,0.062,0.5107,0.0757,0.1376,0.1261,0.1118
Bohdan,1,15,o,0.0757,0.1376,0.1261,0.1118,0.0942,0.2201
Bohdan,1,15,a,0.1261,0.1118,0.0942,0.2201,0.0662,0.2216
Bohdan,2,16,period,0.115,0.2423,0.0965,0.2037,0.0839,0.2162
Bohdan,2,16,t,0.0965,0.2037,0.0839,0.2162,0.1157,0.2324
Bohdan,2,16,i,0.0839,0.2162,0.1157,0.2324,0.0712,0.2988
Bohdan,2,16,e,0.1157,0.2324,0.0712,0.2988,0.0761,0.3284
Bohdan,2,16,five,0.0712,0.2988,0.0761,0.3284,0.0698,0.3131
Bohdan,2,16,Shift.r,0.0761,0.3284,0.0698,0.3131,0.0947,0.1289
Bohdan,2,16,o,0.0698,0.3131,0.0947,0.1289,0.0849,0.2522
Bohdan,2,16,a,0.0947,0.1289,0.0849,0.2522,0.0791,0.4076
Bohdan,2,17,period,0.0833,0.41,0.0562,0.219,0.0609,0.2029
Bohdan,2,17,t,0.0562,0.219,0.0609,0.2029,0.0668,0.7125
Bohdan,2,17,i,0.0609,0.2029,0.0668,0.7125,0.0549,0.3077
Bohdan,2,17,e,0.0668,0.7125,0.0549,0.3077,0.1146,0.4103
Bohdan,2,17,five,0.0549,0.3077,0.1146,0.4103,0.0771,0.2177
Bohdan,2,17,Shift.r,0.1146,0.4103,0.0771,0.2177,0.1055,0.1652
Bohdan,2,17,o,0.0771,0.2177,0.1055,0.1652,0.0618,0.206
Bohdan,2,17,a,0.1055,0.1652,0.0618,0.206,0.0561,0.4252
Bohdan,2,18,period,0.0828,0.2112,0.0788,0.217,0.0763,0.24
Bohdan,2,18,t,0.0788,0.217,0.0763,0.24,0.0703,0.3322
Bohdan,2,18,i,0.0763,0.24,0.0703,0.3322,0.0584,0.3944
Bohdan,2,18,e,0.0703,0.3322,0.0584,0.3944,0.0785,0.5114
Bohdan,2,18,five,0.0584,0.3944,0.0785,0.5114,0.0799,0.2091
Bohdan,2,18,Shift.r,0.0785,0.5114,0.0799,0.2091,0.0942,0.147
Bohdan,2,18,o,0.0799,0.2091,0.0942,0.147,0.0568,0.2211
Bohdan,2,18,a,0.0942,0.147,0.0568,0.2211,0.0548,0.4768
Bohdan,2,19,period,0.0991,0.2128,0.0731,0.1032,0.0668,0.3237
Bohdan,2,19,t,0.0731,0.1032,0.0668,0.3237,0.0708,0.2383
Bohdan,2,19,i,0.0668,0.3237,0.0708,0.2383,0.0702,0.2693
Bohdan,2,19,e,0.0708,0.2383,0.0702,0.2693,0.082,0.3185
Bohdan,2,19,five,0.0702,0.2693,0.082,0.3185,0.0555,0.3475
Bohdan,2,19,Shift.r,0.082,0.3185,0.0555,0.3475,0.1604,0.0119
Bohdan,2,19,o,0.0555,0.3475,0.1604,0.0119,0.0743,0.2259
Bohdan,2,19,a,0.1604,0.0119,0.0743,0.2259,0.085,0.2075
Bohdan,2,20,period,0.1196,0.1036,0.1018,0.1621,0.0707,0.2084
Bohdan,2,20,t,0.1018,0.1621,0.0707,0.2084,0.0863,0.2189
Bohdan,2,20,i,0.0707,0.2084,0.0863,0.2189,0.0722,0.2592
Bohdan,2,20,e,0.0863,0.2189,0.0722,0.2592,0.0658,0.3248
Bohdan,2,20,five,0.0722,0.2592,0.0658,0.3248,0.0781,0.1156
Bohdan,2,20,Shift.r,0.0658,0.3248,0.0781,0.1156,0.1578,0.0372
Bohdan,2,20,o,0.0781,0.1156,0.1578,0.0372,0.0741,0.2253
Bohdan,2,20,a,0.1578,0.0372,0.0741,0.2253,0.1054,0.2068
Bohdan,2,21,period,0.0905,0.108,0.1097,0.1237,0.0887,0.1519
Bohdan,2,21,t,0.1097,0.1237,0.0887,0.1519,0.1481,0.113
Bohdan,2,21,i,0.0887,0.1519,0.1481,0.113,0.0692,0.2379
Bohdan,2,21,e,0.1481,0.113,0.0692,0.2379,0.0704,0.2399
Bohdan,2,21,five,0.0692,0.2379,0.0704,0.2399,0.152,0.0458
Bohdan,2,21,Shift.r,0.0704,0.2399,0.152,0.0458,0.1446,0.1536
Bohdan,2,21,o,0.152,0.0458,0.1446,0.1536,0.081,0.2392
Bohdan,2,21,a,0.1446,0.1536,0.081,0.2392,0.0668,0.3465
Bohdan,2,22,period,0.1097,0.3094,0.1489,0.2113,0.0661,0.212
Bohdan,2,22,t,0.1489,0.2113,0.0661,0.212,0.1108,0.7143
Bohdan,2,22,i,0.0661,0.212,0.1108,0.7143,0.076,0.2513
Bohdan,2,22,e,0.1108,0.7143,0.076,0.2513,0.0696,0.4123
Bohdan,2,22,five,0.076,0.2513,0.0696,0.4123,0.0772,0.1465
Bohdan,2,22,Shift.r,0.0696,0.4123,0.0772,0.1465,0.0841,0.2225
Bohdan,2,22,o,0.0772,0.1465,0.0841,0.2225,0.0862,0.2232
Bohdan,2,22,a,0.0841,0.2225,0.0862,0.2232,0.0931,0.1204
Bohdan,2,23,period,0.0548,0.2299,0.1367,0.11,0.0852,0.2038
Bohdan,2,23,t,0.1367,0.11,0.0852,0.2038,0.0683,0.2158
Bohdan,2,23,i,0.0852,0.2038,0.0683,0.2158,0.0558,0.2429
Bohdan,2,23,e,0.0683,0.2158,0.0558,0.2429,0.0712,0.248
Bohdan,2,23,five,0.0558,0.2429,0.0712,0.248,0.056,0.1425
Bohdan,2,23,Shift.r,0.0712,0.248,0.056,0.1425,0.121,0.2221
Bohdan,2,23,o,0.056,0.1425,0.121,0.2221,0.074,0.1514
Bohdan,2,23,a,0.121,0.2221,0.074,0.1514,0.0769,0.1242
Bohdan,2,24,period,0.1005,0.1534,0.0732,0.2046,0.0518,0.1515
Bohdan,2,24,t,0.0732,0.2046,0.0518,0.1515,0.0795,0.2137
Bohdan,2,24,i,0.0518,0.1515,0.0795,0.2137,0.083,0.1918
Bohdan,2,24,e,0.0795,0.2137,0.083,0.1918,0.0662,0.4261
Bohdan,2,24,five,0.083,0.1918,0.0662,0.4261,0.1227,0.1416
Bohdan,2,24,Shift.r,0.0662,0.4261,0.1227,0.1416,0.1552,0.0374
Bohdan,2,24,o,0.1227,0.1416,0.1552,0.0374,0.0643,0.2254
Bohdan,2,24,a,0.1552,0.0374,0.0643,0.2254,0.0779,0.2089
Bohdan,2,25,period,0.0857,0.1343,0.0812,0.1092,0.0608,0.3285
Bohdan,2,25,t,0.0812,0.1092,0.0608,0.3285,0.0925,0.2336
Bohdan,2,25,i,0.0608,0.3285,0.0925,0.2336,0.1179,0.1514
Bohdan,2,25,e,0.0925,0.2336,0.1179,0.1514,0.0885,0.2397
Bohdan,2,25,five,0.1179,0.1514,0.0885,0.2397,0.0745,0.1097
Bohdan,2,25,Shift.r,0.0885,0.2397,0.0745,0.1097,0.0793,0.2065
Bohdan,2,25,o,0.0745,0.1097,0.0793,0.2065,0.0559,0.2219
Bohdan,2,25,a,0.0793,0.2065,0.0559,0.2219,0.0968,0.1687
Bohdan,2,26,period,0.105,0.2039,0.1286,0.1239,0.0621,0.1332
Bohdan,2,26,t,0.1286,0.1239,0.0621,0.1332,0.0718,0.2317
Bohdan,2,26,i,0.0621,0.1332,0.0718,0.2317,0.0551,0.2569
Bohdan,2,26,e,0.0718,0.2317,0.0551,0.2569,0.0516,0.3414
Bohdan,2,26,five,0.0551,0.2569,0.0516,0.3414,0.0545,0.1371
Bohdan,2,26,Shift.r,0.0516,0.3414,0.0545,0.1371,0.1556,0.0697
Bohdan,2,26,o,0.0545,0.1371,0.1556,0.0697,0.0607,0.354
Bohdan,2,26,a,0.1556,0.0697,0.0607,0.354,0.0538,0.1527
Bohdan,2,27,period,0.1172,0.1174,0.1485,0.1097,0.1033,0.2541
Bohdan,2,27,t,0.1485,0.1097,0.1033,0.2541,0.0707,0.3051
Bohdan,2,27,i,0.1033,0.2541,0.0707,0.3051,0.0349,0.3382
Bohdan,2,27,e,0.0707,0.3051,0.0349,0.3382,0.0589,0.3463
Bohdan,2,27,five,0.0349,0.3382,0.0589,0.3463,0.0571,0.1236
Bohdan,2,27,Shift.r,0.0589,0.3463,0.0571,0.1236,0.1358,0.1346
Bohdan,2,27,o,0.0571,0.1236,0.1358,0.1346,0.0547,0.223
Bohdan,2,27,a,0.1358,0.1346,0.0547,0.223,0.0959,0.1506
Bohdan,2,28,period,0.0914,0.2095,0.0881,0.2084,0.061,0.1077
Bohdan,2,28,t,0.0881,0.2084,0.061,0.1077,0.1087,0.2103
Bohdan,2,28,i,0.061,0.1077,0.1087,0.2103,0.0852,0.1697
Bohdan,2,28,e,0.1087,0.2103,0.0852,0.1697,0.071,0.3597
Bohdan,2,28,five,0.0852,0.1697,0.071,0.3597,0.0719,0.1025
Bohdan,2,28,Shift.r,0.071,0.3597,0.0719,0.1025,0.0688,0.1592
Bohdan,2,28,o,0.0719,0.1025,0.0688,0.1592,0.0766,0.1557
Bohdan,2,28,a,0.0688,0.1592,0.0766,0.1557,0.0777,0.131
Bohdan,2,29,period,0.1487,0.1098,0.0894,0.2109,0.0812,0.4135
Bohdan,2,29,t,0.0894,0.2109,0.0812,0.4135,0.0854,0.2218
Bohdan,2,29,i,0.0812,0.4135,0.0854,0.2218,0.0548,0.2838
Bohdan,2,29,e,0.0854,0.2218,0.0548,0.2838,0.0714,0.5139
Bohdan,2,29,five,0.0548,0.2838,0.0714,0.5139,0.0626,0.1237
Bohdan,2,29,Shift.r,0.0714,0.5139,0.0626,0.1237,0.095,0.2172
Bohdan,2,29,o,0.0626,0.1237,0.095,0.2172,0.0797,0.2229
Bohdan,2,29,a,0.095,0.2172,0.0797,0.2229,0.0921,0.1511
Bohdan,2,30,period,0.0767,0.2072,0.0698,0.1167,0.0498,0.23
Bohdan,2,30,t,0.0698,0.1167,0.0498,0.23,0.0724,0.2099
Bohdan,2,30,i,0.0498,0.23,0.0724,0.2099,0.0541,0.2361
Bohdan,2,30,e,0.0724,0.2099,0.0541,0.2361,0.056,0.4083
Bohdan,2,30,five,0.0541,0.2361,0.056,0.4083,0.0718,0.1246
Bohdan,2,30,Shift.r,0.056,0.4083,0.0718,0.1246,0.095,0.1277
Bohdan,2,30,o,0.0718,0.1246,0.095,0.1277,0.0817,0.2242
Bohdan,2,30,a,0.095,0.1277,0.0817,0.2242,0.0797,0.2139
