subject,sessionIndex,rep,letter,f1,f2
Bohdan,2,28,o,0.0719,0.1025
Bohdan,2,28,a,0.0688,0.1592
Bohdan,2,28,n,0.0766,0.1557
Bohdan,2,28,l,0.0777,0.131
Bohdan,2,29,period,0.1487,0.1098
Bohdan,2,29,t,0.0894,0.2109
Bohdan,2,29,i,0.0812,0.4135
Bohdan,2,29,e,0.0854,0.2218
Bohdan,2,29,five,0.0548,0.2838
Bohdan,2,29,Shift.r,0.0714,0.5139
Bohdan,2,29,o,0.0626,0.1237
Bohdan,2,29,a,0.095,0.2172
Bohdan,2,29,n,0.0797,0.2229
Bohdan,2,29,l,0.0921,0.1511
Bohdan,2,30,period,0.0767,0.2072
Bohdan,2,30,t,0.0698,0.1167
Bohdan,2,30,i,0.0498,0.23
Bohdan,2,30,e,0.0724,0.2099
Bohdan,2,30,five,0.0541,0.2361
Bohdan,2,30,Shift.r,0.056,0.4083
Bohdan,2,30,o,0.0718,0.1246
Bohdan,2,30,a,0.095,0.1277
Bohdan,2,30,n,0.0817,0.2242
Bohdan,2,30,l,0.0797,0.2139
