subject,sessionIndex,rep,letter,f1,f2,f3,f4,f5,f6
v.mal,1,14,e,78.0,78.0,63.0,125.0,203.0,62.0
v.mal,1,14,five,63.0,125.0,203.0,62.0,78.0,141.0
v.mal,1,14,Shift.r,203.0,62.0,78.0,141.0,94.0,93.0
v.mal,1,14,o,78.0,141.0,94.0,93.0,172.0,-93.0
v.mal,1,14,a,94.0,93.0,172.0,-93.0,125.0,218.0
v.mal,1,15,period,94.0,94.0,78.0,78.0,63.0,47.0
v.mal,1,15,t,78.0,78.0,63.0,47.0,93.0,63.0
v.mal,1,15,i,63.0,47.0,93.0,63.0,78.0,125.0
v.mal,1,15,e,93.0,63.0,78.0,125.0,219.0,78.0
v.mal,1,15,five,78.0,125.0,219.0,78.0,94.0,140.0
v.mal,1,15,Shift.r,219.0,78.0,94.0,140.0,78.0,110.0
v.mal,1,15,o,94.0,140.0,78.0,110.0,187.0,-78.0
v.mal,1,15,a,78.0,110.0,187.0,-78.0,109.0,157.0
v.mal,2,1,period,94.0,78.0,78.0,109.0,94.0,62.0
v.mal,2,1,t,78.0,109.0,94.0,62.0,79.0,125.0
v.mal,2,1,i,94.0,62.0,79.0,125.0,62.0,156.0
v.mal,2,1,e,79.0,125.0,62.0,156.0,235.0,93.0
v.mal,2,1,five,62.0,156.0,235.0,93.0,79.0,109.0
v.mal,2,1,Shift.r,235.0,93.0,79.0,109.0,78.0,109.0
v.mal,2,1,o,79.0,109.0,78.0,109.0,188.0,-78.0
v.mal,2,1,a,78.0,109.0,188.0,-78.0,94.0,171.0
v.mal,2,2,period,94.0,63.0,78.0,109.0,94.0,78.0
v.mal,2,2,t,78.0,109.0,94.0,78.0,78.0,94.0
v.mal,2,2,i,94.0,78.0,78.0,94.0,62.0,282.0
v.mal,2,2,e,78.0,94.0,62.0,282.0,250.0,62.0
v.mal,2,2,five,62.0,282.0,250.0,62.0,94.0,94.0
v.mal,2,2,Shift.r,250.0,62.0,94.0,94.0,109.0,16.0
v.mal,2,2,o,94.0,94.0,109.0,16.0,172.0,-63.0
